trip_id,date,day_of_week,is_weekend,time_period,scheduled_time,actual_time,route_id,vehicle_id,stage_id,delay_minutes,on_time,cancelled,occupancy_level,weather,incident_type,fare_kes,passenger_rating
TRP00111,2025-07-10,Thursday,No,Evening Peak (4-7pm),18:43,18:52,9,85,6,9.4,False,FALSE,Low (<50%),Heavy Rain,None,137,3.1
TRP02848,2025-07-12,Saturday,yes,Midday (9am-4pm),11:01,11:08,5,89,2,7.6,0,No,Low (<50%),Heavy Rain,None,87,2.1
TRP00764,07-03-2025,Thursday,No,Night (7-10pm),20:14,20:17,3,21,2,3.6,true,0,Moderate (50-80%),,None,120,3.4
TRP00565,2025-02-15,Saturday,true,Early Morning (5-7am),05:32,05:26,7,8,6,-6.0,N,false,Moderate (50-80%),Clear,None,150,3.8
TRP02687,2025-01-11,Saturday,True,Midday (9am-4pm),10:37,10:36,8,47,1,-1.0,True,no,Moderate (50-80%),Light Rain,Overloading Delay,68,4.4
TRP00260,2025-04-17,Thursday,no,Early Morning (5-7am),05:59,05:57,11,84,8,-1.8,true,N,,Clear,None,110,3.2
TRP03274,2025-01-06,Monday,N,Evening Peak (4-7pm),16:49,16:54,1,15,7,5.3,false,FALSE,Full (80-100%),,None,157,2.4
TRP02351,2025-04-24,Thursday,False,MIDDAY (9AM-4PM),10:30,10:29,2,66,8,-0.7,Y,N,Full (80-100%),clear,None,90,5.0
TRP01348,2025/08/19,Tuesday,No,Evening Peak (4-7pm),18:56,19:04,5,24,5,8.4,False,False,Overloaded (>100%),Clear,Road Construction,102,3.1
TRP00269,2025-05-23,Friday,false,Evening Peak (4-7pm),17:28,17:59,6,81,7,31.5,0,False,Moderate (50-80%),Overcast,  Vehicle Breakdown  ,128,2.0
TRP02516,2025-02-15,Saturday,1,Midday (9am-4pm),09:09,09:03,10,99,7,-6.0,false,N,Low (<50%),Clear,NONE,70,
TRP03175,2025-04-01,Tuesday,no,Night (7-10pm),21:41,21:44,10,60,5,3.8,yes,No,Moderate (50-80%),Clear,Overloading Delay,70,4.8
TRP00556,2025-06-25,Wednesday,False,Night (7-10pm),20:37,20:41,2,33,2,4.9,True,false,Moderate (50-80%),,None,109,4.6
TRP01815,2025-04-28,Monday,False,Morning Peak (7-9am),07:54,07:54,12,84,9,0.5,TRUE,no,,Clear,None,220,4.0
TRP02312,2025-05-23,  Friday  ,False,Night (7-10pm),19:49,19:46,5,13,6,-2.7,1,False,Low (<50%),Clear,None,70,2.5
TRP03016,2025-01-03,Friday,False,Morning Peak (7-9am),08:29,08:44,10,50,1,15.1,no,no,Moderate (50-80%),Clear,Road Accident Nearby,103,1.5
TRP01651,2025-04-23,Wednesday,False,Midday (9am-4pm),11:59,12:19,3,96,7,20.2,FALSE,False,low (<50%),Clear,Vehicle Breakdown,120,2.9
TRP00461,2025-07-11,Friday,False,Early Morning (5-7am),05:09,05:25,6,86,4,16.3,False,no,Low (<50%),n/a,Road Accident Nearby,120,4.7
TRP02401,03/02/2025,monday,0,Evening Peak (4-7pm),16:20,16:38,11,60,4,18.0 min,no,FALSE,Full (80-100%),Clear,Road Accident Nearby,140,1.7
TRP02056,2025-02-09,Sunday,yes,Midday (9am-4pm),11:42,11:39,2,114,2,-2.7 min,Yes,FALSE,Low (<50%),Heavy Rain,None,109,3.5
TRP03449,2025-03-10,Monday,No,Evening Peak (4-7pm),16:57,17:24,4,88,8,27.2,False,False,Low (<50%),Clear,Vehicle Breakdown,97,3.5
TRP00636,2025-06-01,Sunday,TRUE,Morning Peak (7-9am),08:26,08:26,11,9,4,0.4,TRUE,False,,Overcast,None,148,3.8
TRP00632,2025-07-11,Friday,FALSE,Morning Peak (7-9am),08:27,08:50,4,96,11,23.2,N,N,Moderate (50-80%),Light Rain,Vehicle Breakdown,129,3.7
TRP03233,2025-06-21,Saturday,TRUE,Night (7-10pm),21:18,21:27,5,83,5,9.8,false,No,Moderate (50-80%),Overcast,Road Accident Nearby,70,2.2
TRP01666,2025-03-10,Monday,no,Evening Peak (4-7pm),16:05,16:35,10,42,9,30.5 min,no,No,Moderate (50-80%),Clear,Road Accident Nearby,101,2.6
TRP00220,2025-01-06,Monday,0,Morning Peak (7-9am),07:22,07:32,2,78,3,10.8,no,False,Low (<50%),Clear,Traffic Jam,99,2.5
TRP00177,2025-05-25,Sunday,Y,Midday (9am-4pm),11:31,11:36,9,88,3,5.4,False,False,Moderate (50-80%),Clear,Police Checkpoint,80,2.0
TRP02826,2025-03-12,WEDNESDAY,false,Morning Peak (7-9am),07:46,08:03,5,42,1,17.5,false,false,Low (<50%),Heavy Rain,None,137,1.4
TRP01180,15/07/2025,Tuesday,No,Morning Peak (7-9am),07:58,08:07,3,64,7,9.1,no,false,Moderate (50-80%),Light Rain,Road Construction,168,2.2
TRP01906,2025-06-21,Saturday,True,Midday (9am-4pm),14:02,13:56,9,10,11,-6.0,False,No,Low (<50%),Clear,None,80,2.7
TRP01855,2025-08-27,Wednesday,no,Evening Peak (4-7pm),18:56,18:59,5,24,4,3.6,False,Y,Moderate (50-80%),Clear,None,90,2.7
TRP01967,2025-02-08,Saturday,Yes,Morning Peak (7-9am),08:42,08:45,12,81,6,3.9,Yes,false,Full (80-100%),clear,None,249,4.0
