trip_id,date,day_of_week,is_weekend,time_period,scheduled_time,actual_time,route_id,vehicle_id,stage_id,delay_minutes,on_time,cancelled,occupancy_level,weather,incident_type,fare_kes,passenger_rating
TRP00111,10/07/2025,Thursday,No,Evening Peak (4-7Pm),18:43:00,18:52:00,9,85,6,9,No,No,Low (<50%),Heavy Rain,None,137.00,3.1
TRP02848,12/07/2025,Saturday,Yes,Midday (9Am-4Pm),11:01:00,11:08:00,5,89,2,7,No,No,Low (<50%),Heavy Rain,None,87.00,2.1
TRP00764,03/07/2025,Thursday,No,Night (7-10Pm),20:14:00,20:17:00,3,21,2,3,No,No,Moderate (50-80%),,None,120.00,3.4
TRP00565,15/02/2025,Saturday,Yes,Early Morning (5-7Am),05:32:00,05:26:00,7,8,6,-6,Yes,No,Moderate (50-80%),Clear,None,150.00,3.8
TRP02687,11/01/2025,Saturday,Yes,Midday (9Am-4Pm),10:37:00,10:36:00,8,47,1,-1,Yes,No,Moderate (50-80%),Light Rain,Overloading Delay,68.00,4.4
TRP00260,17/04/2025,Thursday,No,Early Morning (5-7Am),05:59:00,05:57:00,11,84,8,-2,Yes,No,,Clear,None,110.00,3.2
TRP03274,06/01/2025,Monday,No,Evening Peak (4-7Pm),16:49:00,16:54:00,1,15,7,5,No,No,Full (80-100%),,None,157.00,2.4
TRP02351,24/04/2025,Thursday,No,Midday (9Am-4Pm),10:30:00,10:29:00,2,66,8,-1,Yes,No,Full (80-100%),Clear,None,90.00,5.0
TRP01348,19/08/2025,Tuesday,No,Evening Peak (4-7Pm),18:56:00,19:04:00,5,24,5,8,No,No,Overloaded (>100%),Clear,Road Construction,102.00,3.1
TRP00269,23/05/2025,Friday,No,Evening Peak (4-7Pm),17:28:00,17:59:00,6,81,7,31,No,No,Moderate (50-80%),Overcast,Vehicle Breakdown,128.00,2.0
TRP02516,15/02/2025,Saturday,Yes,Midday (9Am-4Pm),09:09:00,09:03:00,10,99,7,-6,Yes,No,Low (<50%),Clear,None,70.00,
TRP03175,01/04/2025,Tuesday,No,Night (7-10Pm),21:41:00,21:44:00,10,60,5,3,No,No,Moderate (50-80%),Clear,Overloading Delay,70.00,4.8
TRP00556,25/06/2025,Wednesday,No,Night (7-10Pm),20:37:00,20:41:00,2,33,2,4,No,No,Moderate (50-80%),,None,109.00,4.6
TRP01815,28/04/2025,Monday,No,Morning Peak (7-9Am),07:54:00,07:54:00,12,84,9,0,Yes,No,,Clear,None,220.00,4.0
TRP02312,23/05/2025,Friday,No,Night (7-10Pm),19:49:00,19:46:00,5,13,6,-3,Yes,No,Low (<50%),Clear,None,70.00,2.5
TRP03016,03/01/2025,Friday,No,Morning Peak (7-9Am),08:29:00,08:44:00,10,50,1,15,No,No,Moderate (50-80%),Clear,Road Accident Nearby,103.00,1.5
TRP01651,23/04/2025,Wednesday,No,Midday (9Am-4Pm),11:59:00,12:19:00,3,96,7,20,No,No,Low (<50%),Clear,Vehicle Breakdown,120.00,2.9
TRP00461,11/07/2025,Friday,No,Early Morning (5-7Am),05:09:00,05:25:00,6,86,4,16,No,No,Low (<50%),,Road Accident Nearby,120.00,4.7
TRP02401,02/03/2025,Monday,No,Evening Peak (4-7Pm),16:20:00,16:38:00,11,60,4,18,No,No,Full (80-100%),Clear,Road Accident Nearby,140.00,1.7
TRP02056,09/02/2025,Sunday,Yes,Midday (9Am-4Pm),11:42:00,11:39:00,2,114,2,-3,Yes,No,Low (<50%),Heavy Rain,None,109.00,3.5
TRP03449,10/03/2025,Monday,No,Evening Peak (4-7Pm),16:57:00,17:24:00,4,88,8,27,No,No,Low (<50%),Clear,Vehicle Breakdown,97.00,3.5
TRP00636,01/06/2025,Sunday,Yes,Morning Peak (7-9Am),08:26:00,08:26:00,11,9,4,0,Yes,No,,Overcast,None,148.00,3.8
TRP00632,11/07/2025,Friday,No,Morning Peak (7-9Am),08:27:00,08:50:00,4,96,11,23,No,No,Moderate (50-80%),Light Rain,Vehicle Breakdown,129.00,3.7
TRP03233,21/06/2025,Saturday,Yes,Night (7-10Pm),21:18:00,21:27:00,5,83,5,9,No,No,Moderate (50-80%),Overcast,Road Accident Nearby,70.00,2.2
TRP01666,10/03/2025,Monday,No,Evening Peak (4-7Pm),16:05:00,16:35:00,10,42,9,30,No,No,Moderate (50-80%),Clear,Road Accident Nearby,101.00,2.6
TRP00220,06/01/2025,Monday,No,Morning Peak (7-9Am),07:22:00,07:32:00,2,78,3,10,No,No,Low (<50%),Clear,Traffic Jam,99.00,2.5
TRP00177,25/05/2025,Sunday,Yes,Midday (9Am-4Pm),11:31:00,11:36:00,9,88,3,5,No,No,Moderate (50-80%),Clear,Police Checkpoint,80.00,2.0
TRP02826,12/03/2025,Wednesday,No,Morning Peak (7-9Am),07:46:00,08:03:00,5,42,1,17,No,No,Low (<50%),Heavy Rain,None,137.00,1.4
TRP01180,15/07/2025,Tuesday,No,Morning Peak (7-9Am),07:58:00,08:07:00,3,64,7,9,No,No,Moderate (50-80%),Light Rain,Road Construction,168.00,2.2
TRP01906,21/06/2025,Saturday,Yes,Midday (9Am-4Pm),14:02:00,13:56:00,9,10,11,-6,Yes,No,Low (<50%),Clear,None,80.00,2.7
TRP01855,27/08/2025,Wednesday,No,Evening Peak (4-7Pm),18:56:00,18:59:00,5,24,4,3,No,Yes,Moderate (50-80%),Clear,None,90.00,2.7
