vehicle_id,vehicle_type,capacity,registration_plate,year_registered,sacco_operator
1,33-Seater Matatu,33,KE977Q,2017,Neno Enterprises
2,Citihoppa Bus,60,KB289S,2017,Independent
3,Minibus,25,KA557K,2012,Citi Hoppa
4,33-Seater Matatu,33,KA709N,2017,
5,33-Seater Matatu,33,KE115S,2011,Super Metro
6,14-Seater Matatu,14,KB714A,2022,Embassava
7,14-Seater Matatu,14,KE962G,2018,2NK
8,33-Seater Matatu,33,KD104X,2011,Embassava
9,33-Seater Matatu,33,KD664C,2021,Rongai Shuttle
10,14-Seater Matatu,14,KB625K,2010,Citi Hoppa
11,33-Seater Matatu,33,KA510D,2023,
12,14-Seater Matatu,14,KA967X,2010,2NK
13,14-Seater Matatu,14,KA581N,2021,Double M
14,33-Seater Matatu,33,KE744G,2022,Rongai Shuttle
15,14-Seater Matatu,14,KC440A,2016,Citi Hoppa
16,14-Seater Matatu,33,KA111B,2017,Embassava
17,14-Seater Matatu,14,KE292Q,2018,2NK
18,Boda Boda,1,KB529W,2016,Citi Hoppa
19,14-Seater Matatu,14,KB100J,2023,Independent
20,14-Seater Matatu,14,KA315F,2016,Independent
21,33-Seater Matatu,33,KA143E,2013,Embassava
22,14-Seater Matatu,14,KE436K,2016,Citi Hoppa
23,14-Seater Matatu,14,KB696W,2013,Super Metro
24,33-Seater Matatu,33,KC737Q,2012,Independent
25,33-Seater Matatu,33,KE238N,2012,Forward Travellers
26,14-Seater Matatu,14,KB937V,2013,2NK
27,14-Seater Matatu,14,KE301X,2016,Embassava
28,33-Seater Matatu,33,KD148D,2011,Super Metro
29,33-Seater Matatu,33,KC344Z,2021,Double M
30,14-Seater Matatu,14,KE602K,2018,Forward Travellers
31,Citihoppa Bus,60,KA229H,2017,Neno Enterprises
32,33-Seater Matatu,33,KE729C,2014,2NK
33,Citihoppa Bus,60,KB866A,2011,Rongai Shuttle
34,33-Seater Matatu,33,KB161B,2012,Rongai Shuttle
35,14-Seater Matatu,14,KE234C,2015,Forward Travellers
36,Citihoppa Bus,60,KC772Z,2021,Neno Enterprises
37,33-Seater Matatu,33,KB704B,2024,Super Metro
38,33-Seater Matatu,33,KC817K,2010,Super Metro
